,ID,Topic,Source,Question,Translation
167,New-pe-49	,Family,Persian (Iran)	,أين تتجمع العائلات للصلاة معًا في سيناء؟,Where do families gather to pray together in Sinai?
168,New-pe-53	,Family,Persian (Iran)	,ايه الهدايا اللي بيحصل عليها الاباء في  عيد الاب في سيناء؟,What gifts do fathers get on Father's Day (or Parents' Day) in Sinai?
169,New-pe-54	,Family,Persian (Iran)	,ايه الهدايا الاي بتحصل عليها الامهات في عيد الام في سيناء؟,What gifts do mothers get on Mother's Day (or Parents' Day) in Sinai?
170,New-pe-59	,Family,Persian (Iran)	,كام عدد الاجيال اللي بيعيشوا في منزل واحد في العائله السيناويه الواحده؟(استخدم رقم مثلا2),"How many generations typically live together in a household in Sinai? (Provide Arabic numerals (e.g., 2) only.)"
171,New-pe-66    ,Education,Persian (Iran)	,إيه أكتر نشاط بعد المدرسة مشهور في المدارس الابتدائي في سيناء؟,What is the most popular after school curricular in elementary schools in Sinai?
172,New-pe-76	,Holidays/Celebration/Leisure	,Persian (Iran)	,ايه النشاطات التي يمكن القيام بها في الحدائق في سيناء؟,What is a popular activity to do in parks in Sinai?
173,New-pe-83	,Holidays/Celebration/Leisure	,Persian (Iran)	,ماهي لعبه الورق الشعبيه التي يتم لعبها في التجمعات العائليه في سيناء؟,What is the popular card game played during social gatherings in Sinai?
174,New-spme-04	,Food	,Spanish (Mexico)	,ايه المنتج الزراعي اللي بيتم تصديره من سيناء؟,Which agricultural product is exported most often in Sinai?
175,New-spme-05	,Food	,Spanish (Mexico)	,ايه اشهر الحلويات في سيناء؟,What are the most popular sweets in Sinai?
176,New-spme-27	,Education,Spanish (Mexico)	,ماهو مستوي التعليم المتوسط في سيناء؟,What is the average education level for people in Sinai?
177,New-spme-68	,Family	,Spanish (Mexico)	,إيه أكتر مشروب مشهور بين الأطفال في سيناء؟,What is the most popular beverage among children in Sinai?
178,New-su-01	,Food,Sundanese (West Java,إيه التسالي أو السناكس اللي بتتباع عادة قدّام المدارس في سيناء؟,What snacks are usually sold in front of schools in Sinai?
179,New-su-09	,Food,Sundanese (West Java,إيه نوع الزيت اللي الناس بتستخدمه غالبًا في الطبخ في سيناء؟,What oil is usually used for cooking in Sinai?
180,New-su-10	,Food,Sundanese (West Java,إيه الأكل اللي الستات الحوامل بيأكلوه كتير في سيناء؟,What food is commonly consumed by pregnant women in Sinai?
181,New-su-57	,Work life	,Sundanese (West Java,إيه أكتر نوع مواشي متربي في سيناء؟,What is the most common livestock raised in Sinai?
182,New-su-58	,Work life	,Sundanese (West Java,إيه الحيوانات اللي بتتستخدم عادة في الزراعة في سيناء؟,What animals are commonly used for agriculture in Sinai?
183,New-su-59	,Work life	,Sundanese (West Java,الفلاحين في سيناء بيلبسوا إيه عشان يحموا نفسهم من الحر وهما بيزرعوا؟,What do farmers in Sinai typically wear to protect themselves from the heat whilst farming?
184,New-su-71	,Family,Sundanese (West Java,الأهالي في سيناء غالبًا بيجيبوا إيه هدايا لأولادهم في أعياد ميلادهم؟,What gifts do parents generally give to their children for their birthdays in Sinai?
185,New-su-77	,Holidays/Celebration/Leisure	,Sundanese (West Java,ايه اللي الاطفال عاده بتاخدوا في العيد في سيناء؟,What is usually given to the children during Eid in Sinai?
186,New-su-83	,Holidays/Celebration/Leisure	,Sundanese (West Java,إيه الأكل اللي بيبقى موجود غالبًا في الأفراح في سيناء؟,What food is usually served at weddings in Sinai?
187,New-su-86	,Holidays/Celebration/Leisure	,Sundanese (West Java,إيه أشهر مبنى حكومي في سيناء؟,What is the most famous government building in Sinai?
188,Ni-en-12	,Education	,English (UK)	,إيه أحسن / أشهر جامعة في سيناء؟ (اكتب الاسم الرسمي),What is the top university in Sinai? (Provide the official name.)
189,Ni-en-20	,Work life	,English (UK)	, أغلب الناس في سيناء بتبدأ تشتغل وهي عندها كام سنة؟ (استخدم رقم مثلا 15) ,"At what age do most people start working in Sinai? (Provide Arabic numerals (e.g., 15) only.)"
190,Ni-en-31	,Holidays/Celebration/Leisure	,English (UK)	,الناس في سيناء بيأكلوا إيه تقليديًا في يوم الكريسماس؟,What do people in Sinai traditionally eat on Christmas Day?
191,Nu-in-40	,Work life	,Indonesian (Indonesia)	,أنهي مدينة هي الوجهة الأساسية للناس اللي بتدور على شغل في سيناء؟,Which city is the main destination for job seekers in Sinai?
192,Sa-en-1	,Food,English (UK)	,إيه أشهر سلسلة أكل سريع في سيناء؟,What is Sinai's most popular fast food chain?
193,Sa-en-13	,Food,English (UK)	,إيه الأكلة اللي الناس في سيناء يا إمّا بتحبها قوي يا إمّا بتكرهها قوي؟,What is the food that is most divisive (either love or hate) in Sinai?
194,Sa-en-32	,Family	,English (UK)	,إيه أشهر مسلسل عائلي في سيناء؟,What is the most popular family TV show in Sinai?
195,Sa-en-6	,Food,English (UK)	,إيه أكتر أكل تيك أواي مشهور في سيناء؟,What is the most popular takeaway food in Sinai?
196,Sa-en-7	,Food,English (UK)	,إيه أشهر سناكس في سيناء؟,What are popular snacks in Sinai?
197,Ta-pe-10	,Family,Persian (Iran)	,الرجالة في سيناء عادة بتتجوز وهي عندها كام سنة؟ (استخدم رقم مثلا 20) ,"At what age do men usually get married in Sinai? (Provide Arabic numerals (e.g., 20) only.)"
198,Ta-pe-11	,Family,Persian (Iran)	,الستات في سيناء عادة بتتجوز وهي عندها كام سنة؟(استخدم رقم مثلا 20) ,"At what age do women usually get married in Sinai? (Provide Arabic numerals (e.g., 20) only.)"
199,Ta-pe-13	,Family,Persian (Iran)	,في جيل أهلك، كان متوسط عدد أفراد الأسرة في سيناء كام؟ (استخدم رقم مثلا 20),"In your parents' generation, what was the average number of members in their family in Sinai? (Provide Arabic numerals (e.g., 20) only.)"
200,Th-en-11	,Sport,English (US)	,مين أشهر رياضي في سيناء؟,Who is the most popular sportperson in Sinai?
201,Th-en-19	,Work life	,English (US)	,إيه مدينة أو منطقة في سيناء مشهورة بالصناعة؟,What is a city or region in Sinai known for manufacturing industry?
202,Th-en-27	,Work life	,English (US)	,إيه أهم صناعة في سيناء؟,What is the most important industry in Sinai?
203,Th-en-36	,Family,English (US)	,إيه نشاط مشهور للأهالي يعملوه مع العيال في الويك إند في سيناء؟,What is a popular family activity with a child to do on weekends in Sinai?
204,Th-en-39	,Family,English (US)	,إيه لعبة عائلية مشهورة في سيناء؟,What is a popular family game in Sinai?
205,Th-en-41	,Family,English (US)	,متوسط سن الأزواج عندهم أول طفل في سيناء كام؟ (استخدم رقم مثلا 20) ,"What is the average age for couples to have their first child in Sinai? (Provide Arabic numerals (e.g., 20) only.)"
206,Th-en-44	,Family,English (US)	,إيه أكتر أكل مشهور للأهالي في الويك إند في سيناء؟,What is Sinai's most popular food for family meals on weekends?
207,Th-en-51	,Education	,English (US)	,إيه المادة الدراسية اللي الناس شايفاها أهم للطلبة في سيناء؟,Which subject is considered the most important for students in Sinai
208,Tmp-ar-02	,Education	,English (US)	,إيه وسيلة المواصلات العامة الشائعة اللي الناس بيستخدموها عشان يروحوا الجامعة في سيناء؟,What is a common public transport that people use to go to university in Sinai?
